Model,Accuracy,F1 (macro),Precision (macro),Recall (macro),Has_Proba
CatBoost_embed,0.9966996699669967,0.996703013797326,0.9967091124006018,0.99671653920075,0
Blend(CNN_TTA+Cat),0.9953795379537954,0.9953637473637473,0.995398834639341,0.9953785907970985,0
CNN_TTA,0.994059405940594,0.9940290237320855,0.9941039307128581,0.9940376359509667,1
